Comment,Designator,Footprint,LCSC Part #
POWERSHROUDED,"J2",POWER_16_SHROUDED,
2n3904,"CREAM1:T1, CREAM1:T2, CREAM1:T3, CREAM1:T4",SOT23-BEC,
EURORACK_PCB5STOMP,"PCB1",EURORACK36HP_5STOMP,
SST201,"CLIP1:Q1",SOT23,
VOLTAGETESTPAD,"U$13, U$41, U$42, U$43, U$44, U$15",POWERTESTPAD,
5STOMPBOARD,"U$22",BYPASSBOARD,
BAS16W,"CREAM1:D1, CREAM1:D2, CREAM1:D3, CREAM1:D4, CLIP1:D1, CLIP1:D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D14, ACID1:D1, ACID1:D2, D15, D17, D18",SOT-323,
TL074TSSOP14,"IC2, IC6, IC3, IC4, IC8, IC9, IC7, IC11",TSSOP14,
GNDLOOP,"U$48, U$49, U$50",GROUNDLOOP,
LM13700M,"IC5, IC10",SO16,
HEADPHONE,"U$68",2X3-SHROUDED,
100k,"U$70, U$71, U$111, U$112",TC33X,
50K,"U$93",TC33X,
50k,"TR_OUT_A, TR_IN_A, TR_OUT_B, TR_IN_B, TR_OUT_C, TR_IN_C, TR_OUT_D, TR_IN_D",TC33X,
HEADPHONEHOLE_BIGGAP,"U$23",HEADPHONEHOLE_GAP,
BAT54S,"U$74",SOT23,
3906,"T1",SOT23-BEC,
TESTPOINT_DUAL_PTH,"U$92",TESTPAD_DUAL_PTH,
1N4148DO35-10,"ACID1:D3, ACID1:D4",DO35-10,
,"FUZZ1:T1, FUZZ1:T2",TO92-EBC,
,"D16, D19, D20",3MMLED,
TINRS_ARTWORKTINYDATE,"U$94, U$95",JUSTATINYROCKET_DATECODE,
ROCKET-5CM,"U$96",ROCKET-5CM,
